ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11550051,JB571065,12/29/2018 2:00,020XX W DIVISION ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1212,12,1,24,6,1162514,1907985,2018,1/10/2019 15:16,41.90316881,-87.67849289,"(41.903168813, -87.678492886)",24,"21,560",25,481,41,4,7,200
11550103,JB571301,12/29/2018 1:00,071XX S JEFFERY BLVD,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,333,3,5,43,6,1190776,1858184,2018,1/10/2019 15:16,41.76587359,-87.57629471,"(41.76587359, -87.576294705)",32,"22,538",39,452,33,24,18,89
11551069,JB572485,12/29/2018 0:23,031XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,912,9,12,59,6,1166183,1883676,2018,1/10/2019 15:16,41.83638523,-87.66571041,"(41.836385231, -87.66571041)",26,"14,920",56,192,1,43,23,165
11550061,JB571157,12/29/2018 0:00,015XX E 63RD ST,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,314,3,5,42,5,1187495,1863517,2018,1/10/2019 15:16,41.78058641,-87.58815113,"(41.780586406, -87.588151131)",53,"22,260",9,134,4,60,18,273
11549751,JB570867,12/28/2018 23:40,060XX N WESTERN AVE,850,THEFT,ATTEMPT THEFT,CONVENIENCE STORE,FALSE,FALSE,2413,24,40,2,6,1159227,1939947,2018,1/10/2019 15:16,41.99094269,-87.68968508,"(41.99094269, -87.689685077)",46,"4,450",20,53,24,50,11,52
11549805,JB570975,12/28/2018 23:30,020XX W DIVISION ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1212,12,1,24,6,1162670,1907990,2018,1/10/2019 15:16,41.90317926,-87.67791973,"(41.903179264, -87.677919727)",24,"21,560",25,481,41,4,7,200
11550447,JB571787,12/28/2018 23:00,0000X W ELM ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1824,18,2,8,6,1175930,1908090,2018,1/10/2019 15:16,41.90316534,-87.62921044,"(41.90316534, -87.629210442)",22,"14,926",37,230,11,54,14,197
11549783,JB570817,12/28/2018 22:29,036XX N SOUTHPORT AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1922,19,44,6,6,1166323,1924280,2018,1/10/2019 15:16,41.94780258,-87.66403451,"(41.947802576, -87.664034506)",38,"21,186",57,728,25,53,5,19
11556366,JC104462,12/28/2018 21:35,003XX W ADAMS ST,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,FALSE,FALSE,122,1,42,32,5,1174219,1899402,2018,3/5/2019 16:11,41.87936334,-87.63575467,"(41.879363342, -87.635754673)",48,"14,914",38,92,36,46,22,79
11549738,JB570876,12/28/2018 21:00,008XX N WABASH AVE,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1833,18,2,8,6,1176578,1906192,2018,1/10/2019 15:16,41.89794252,-87.62688764,"(41.897942519, -87.626887644)",22,"21,182",37,104,11,6,14,71
